

---------
NEXT RUN
---------
 8600: 	G_loss: 10.1268	D_loss: 0.0930	Cycle_loss: 0.5904	Identity_loss:0.5436	A2B_loss: 0.5076	B2A_loss: 0.9970	d_A_loss: 0.0000	d_B_loss: 0.1860
 8700: 	G_loss: 9.6493	D_loss: 0.0604	Cycle_loss: 0.5503	Identity_loss:0.4939	A2B_loss: 0.6790	B2A_loss: 0.9978	d_A_loss: 0.0000	d_B_loss: 0.1208
 8800: 	G_loss: 9.1345	D_loss: 0.0540	Cycle_loss: 0.5173	Identity_loss:0.4621	A2B_loss: 0.6541	B2A_loss: 0.9967	d_A_loss: 0.0000	d_B_loss: 0.1079
 8900: 	G_loss: 9.5176	D_loss: 0.0519	Cycle_loss: 0.5444	Identity_loss:0.4929	A2B_loss: 0.6125	B2A_loss: 0.9971	d_A_loss: 0.0000	d_B_loss: 0.1037
 9000: 	G_loss: 9.5210	D_loss: 0.0452	Cycle_loss: 0.5356	Identity_loss:0.4951	A2B_loss: 0.6920	B2A_loss: 0.9978	d_A_loss: 0.0000	d_B_loss: 0.0905
 9100: 	G_loss: 11.0983	D_loss: 0.0605	Cycle_loss: 0.6380	Identity_loss:0.6003	A2B_loss: 0.7206	B2A_loss: 0.9966	d_A_loss: 0.0000	d_B_loss: 0.1210
 9200: 	G_loss: 9.9036	D_loss: 0.0551	Cycle_loss: 0.5675	Identity_loss:0.5252	A2B_loss: 0.6048	B2A_loss: 0.9977	d_A_loss: 0.0000	d_B_loss: 0.1102
 9300: 	G_loss: 10.4835	D_loss: 0.0489	Cycle_loss: 0.5951	Identity_loss:0.5480	A2B_loss: 0.7936	B2A_loss: 0.9982	d_A_loss: 0.0000	d_B_loss: 0.0978
 9400: 	G_loss: 10.1616	D_loss: 0.0430	Cycle_loss: 0.5781	Identity_loss:0.5379	A2B_loss: 0.6929	B2A_loss: 0.9982	d_A_loss: 0.0000	d_B_loss: 0.0860
 9500: 	G_loss: 9.6673	D_loss: 0.0654	Cycle_loss: 0.5502	Identity_loss:0.5044	A2B_loss: 0.6448	B2A_loss: 0.9983	d_A_loss: 0.0000	d_B_loss: 0.1308
 9600: 	G_loss: 8.6528	D_loss: 0.0535	Cycle_loss: 0.4757	Identity_loss:0.4353	A2B_loss: 0.7214	B2A_loss: 0.9983	d_A_loss: 0.0000	d_B_loss: 0.1070
 9700: 	G_loss: 8.8108	D_loss: 0.1015	Cycle_loss: 0.5092	Identity_loss:0.4620	A2B_loss: 0.5325	B2A_loss: 0.8760	d_A_loss: 0.0616	d_B_loss: 0.1414
 9800: 	G_loss: 10.3218	D_loss: 0.0589	Cycle_loss: 0.5965	Identity_loss:0.5546	A2B_loss: 0.6041	B2A_loss: 0.9800	d_A_loss: 0.0002	d_B_loss: 0.1175
 9900: 	G_loss: 8.9622	D_loss: 0.0306	Cycle_loss: 0.4929	Identity_loss:0.4456	A2B_loss: 0.8172	B2A_loss: 0.9880	d_A_loss: 0.0001	d_B_loss: 0.0611
10000: 	G_loss: 9.0291	D_loss: 0.0690	Cycle_loss: 0.5029	Identity_loss:0.4715	A2B_loss: 0.6637	B2A_loss: 0.9791	d_A_loss: 0.0003	d_B_loss: 0.1376
10100: 	G_loss: 7.0799	D_loss: 0.0549	Cycle_loss: 0.5328	Identity_loss:0.5090	A2B_loss: 0.7686	B2A_loss: 0.9831	d_A_loss: 0.0002	d_B_loss: 0.1095
10200: 	G_loss: 6.3418	D_loss: 0.0456	Cycle_loss: 0.4669	Identity_loss:0.4613	A2B_loss: 0.6847	B2A_loss: 0.9877	d_A_loss: 0.0005	d_B_loss: 0.0906
10300: 	G_loss: 6.8386	D_loss: 0.0666	Cycle_loss: 0.5238	Identity_loss:0.5139	A2B_loss: 0.6144	B2A_loss: 0.9858	d_A_loss: 0.0001	d_B_loss: 0.1332
10400: 	G_loss: 6.2854	D_loss: 0.0490	Cycle_loss: 0.4447	Identity_loss:0.4443	A2B_loss: 0.8523	B2A_loss: 0.9865	d_A_loss: 0.0001	d_B_loss: 0.0978
10500: 	G_loss: 6.5868	D_loss: 0.0880	Cycle_loss: 0.5037	Identity_loss:0.5043	A2B_loss: 0.5607	B2A_loss: 0.9889	d_A_loss: 0.0000	d_B_loss: 0.1759
10600: 	G_loss: 6.5735	D_loss: 0.0549	Cycle_loss: 0.5022	Identity_loss:0.5172	A2B_loss: 0.5624	B2A_loss: 0.9892	d_A_loss: 0.0001	d_B_loss: 0.1097
10700: 	G_loss: 7.4233	D_loss: 0.0616	Cycle_loss: 0.5798	Identity_loss:0.5777	A2B_loss: 0.6335	B2A_loss: 0.9919	d_A_loss: 0.0001	d_B_loss: 0.1231
10800: 	G_loss: 7.0630	D_loss: 0.0257	Cycle_loss: 0.5298	Identity_loss:0.5336	A2B_loss: 0.7723	B2A_loss: 0.9927	d_A_loss: 0.0000	d_B_loss: 0.0513
10900: 	G_loss: 6.6178	D_loss: 0.0583	Cycle_loss: 0.4902	Identity_loss:0.5348	A2B_loss: 0.7240	B2A_loss: 0.9919	d_A_loss: 0.0000	d_B_loss: 0.1165
11000: 	G_loss: 6.9743	D_loss: 0.0423	Cycle_loss: 0.5291	Identity_loss:0.5419	A2B_loss: 0.6913	B2A_loss: 0.9916	d_A_loss: 0.0000	d_B_loss: 0.0847
11100: 	G_loss: 7.4084	D_loss: 0.0340	Cycle_loss: 0.5610	Identity_loss:0.5902	A2B_loss: 0.8041	B2A_loss: 0.9940	d_A_loss: 0.0000	d_B_loss: 0.0680
11200: 	G_loss: 6.3749	D_loss: 0.0649	Cycle_loss: 0.4793	Identity_loss:0.5177	A2B_loss: 0.5889	B2A_loss: 0.9931	d_A_loss: 0.0000	d_B_loss: 0.1298
11300: 	G_loss: 6.9164	D_loss: 0.0471	Cycle_loss: 0.5285	Identity_loss:0.5685	A2B_loss: 0.6379	B2A_loss: 0.9933	d_A_loss: 0.0000	d_B_loss: 0.0942
11400: 	G_loss: 6.6893	D_loss: 0.0763	Cycle_loss: 0.5000	Identity_loss:0.5344	A2B_loss: 0.6947	B2A_loss: 0.9948	d_A_loss: 0.0000	d_B_loss: 0.1527
11500: 	G_loss: 6.7740	D_loss: 0.0579	Cycle_loss: 0.5019	Identity_loss:0.5304	A2B_loss: 0.7606	B2A_loss: 0.9948	d_A_loss: 0.0000	d_B_loss: 0.1157
11600: 	G_loss: 7.4404	D_loss: 0.0930	Cycle_loss: 0.5760	Identity_loss:0.6078	A2B_loss: 0.6870	B2A_loss: 0.9938	d_A_loss: 0.0000	d_B_loss: 0.1859
11700: 	G_loss: 6.3014	D_loss: 0.0421	Cycle_loss: 0.4651	Identity_loss:0.5091	A2B_loss: 0.6576	B2A_loss: 0.9932	d_A_loss: 0.0000	d_B_loss: 0.0842
11800: 	G_loss: 6.8984	D_loss: 0.0307	Cycle_loss: 0.5229	Identity_loss:0.5644	A2B_loss: 0.6755	B2A_loss: 0.9936	d_A_loss: 0.0000	d_B_loss: 0.0615
11900: 	G_loss: 7.2218	D_loss: 0.0638	Cycle_loss: 0.5672	Identity_loss:0.5961	A2B_loss: 0.5548	B2A_loss: 0.9947	d_A_loss: 0.0000	d_B_loss: 0.1276
12000: 	G_loss: 6.6449	D_loss: 0.0421	Cycle_loss: 0.4950	Identity_loss:0.5419	A2B_loss: 0.7001	B2A_loss: 0.9944	d_A_loss: 0.0000	d_B_loss: 0.0843
12100: 	G_loss: 6.6559	D_loss: 0.0474	Cycle_loss: 0.4935	Identity_loss:0.5508	A2B_loss: 0.7261	B2A_loss: 0.9953	d_A_loss: 0.0000	d_B_loss: 0.0948
12200: 	G_loss: 6.1615	D_loss: 0.0278	Cycle_loss: 0.4439	Identity_loss:0.4961	A2B_loss: 0.7264	B2A_loss: 0.9956	d_A_loss: 0.0000	d_B_loss: 0.0555
12300: 	G_loss: 6.7914	D_loss: 0.0776	Cycle_loss: 0.5187	Identity_loss:0.5704	A2B_loss: 0.6092	B2A_loss: 0.9954	d_A_loss: 0.0000	d_B_loss: 0.1552
12400: 	G_loss: 7.0273	D_loss: 0.0517	Cycle_loss: 0.5377	Identity_loss:0.6013	A2B_loss: 0.6548	B2A_loss: 0.9953	d_A_loss: 0.0000	d_B_loss: 0.1034
12500: 	G_loss: 6.1699	D_loss: 0.0478	Cycle_loss: 0.4538	Identity_loss:0.5310	A2B_loss: 0.6367	B2A_loss: 0.9951	d_A_loss: 0.0000	d_B_loss: 0.0955
12600: 	G_loss: 6.9212	D_loss: 0.0690	Cycle_loss: 0.5307	Identity_loss:0.5837	A2B_loss: 0.6185	B2A_loss: 0.9960	d_A_loss: 0.0000	d_B_loss: 0.1380
12700: 	G_loss: 6.7491	D_loss: 0.0331	Cycle_loss: 0.4979	Identity_loss:0.5850	A2B_loss: 0.7742	B2A_loss: 0.9964	d_A_loss: 0.0004	d_B_loss: 0.0657
12800: 	G_loss: 5.9386	D_loss: 0.0341	Cycle_loss: 0.4190	Identity_loss:0.4902	A2B_loss: 0.7535	B2A_loss: 0.9953	d_A_loss: 0.0000	d_B_loss: 0.0682
