

---------
NEXT RUN
---------
10400: 	G_loss: 7.3972	D_loss: 0.1284	Cycle_loss: 5.7192	Identity_loss:0.0000	A2B_loss: 0.6822	B2A_loss: 0.9958	d_A_loss: 0.0000	d_B_loss: 0.2568
10500: 	G_loss: 6.9243	D_loss: 0.1495	Cycle_loss: 5.1747	Identity_loss:0.0000	A2B_loss: 0.7531	B2A_loss: 0.9965	d_A_loss: 0.0000	d_B_loss: 0.2990
10600: 	G_loss: 6.9344	D_loss: 0.1146	Cycle_loss: 5.2360	Identity_loss:0.0000	A2B_loss: 0.7026	B2A_loss: 0.9959	d_A_loss: 0.0000	d_B_loss: 0.2292
10700: 	G_loss: 6.6338	D_loss: 0.0802	Cycle_loss: 4.9599	Identity_loss:0.0000	A2B_loss: 0.6778	B2A_loss: 0.9961	d_A_loss: 0.0000	d_B_loss: 0.1604
10800: 	G_loss: 7.3146	D_loss: 0.1367	Cycle_loss: 5.6813	Identity_loss:0.0000	A2B_loss: 0.6361	B2A_loss: 0.9972	d_A_loss: 0.0001	d_B_loss: 0.2733
10900: 	G_loss: 7.2378	D_loss: 0.1280	Cycle_loss: 5.5166	Identity_loss:0.0000	A2B_loss: 0.7241	B2A_loss: 0.9971	d_A_loss: 0.0000	d_B_loss: 0.2560
11000: 	G_loss: 7.3798	D_loss: 0.0875	Cycle_loss: 5.6432	Identity_loss:0.0000	A2B_loss: 0.7392	B2A_loss: 0.9974	d_A_loss: 0.0000	d_B_loss: 0.1750
11100: 	G_loss: 6.7856	D_loss: 0.1470	Cycle_loss: 5.0890	Identity_loss:0.0000	A2B_loss: 0.6995	B2A_loss: 0.9971	d_A_loss: 0.0000	d_B_loss: 0.2940
11200: 	G_loss: 6.4425	D_loss: 0.1085	Cycle_loss: 4.7326	Identity_loss:0.0000	A2B_loss: 0.7131	B2A_loss: 0.9968	d_A_loss: 0.0000	d_B_loss: 0.2170
11300: 	G_loss: 6.5878	D_loss: 0.0646	Cycle_loss: 4.8680	Identity_loss:0.0000	A2B_loss: 0.7228	B2A_loss: 0.9970	d_A_loss: 0.0000	d_B_loss: 0.1292
